,Station,Latitude,Longitude
94,Macquarie Park,-33.7852,151.1283
95,Macquarie University,-33.7771,151.118
96,Marayong,-33.7463,150.9002
97,Marrickville,-33.9138,151.1532
98,Martin Place,-33.8679,151.2118
99,Mascot,-33.9233,151.1874
100,Meadowbank,-33.816,151.0901
101,Merrylands,-33.8365,150.9926
102,Milsons Point,-33.8459,151.2118
103,Minto,-34.0273,150.8425
104,Miranda,-34.0363,151.1026
105,Mortdale,-33.9706,151.0813
106,Mount Colah,-33.6715,151.1149
107,Mount Druitt,-33.7696,150.8201
108,Mount Kuring-gai,-33.6532,151.1369
109,Mulgrave,-33.6266,150.8305
110,Museum,-33.8766,151.2093
111,Narwee,-33.9476,151.0702
112,Newtown,-33.898,151.1796
113,Normanhurst,-33.7209,151.0972
114,North Ryde,-33.7946,151.1378
115,North Strathfield,-33.859,151.0881
116,North Sydney,-33.8411,151.2072
117,Norwest,-33.7346,150.9636
118,Oatley,-33.9808,151.0791
119,Olympic Park,-33.8465,151.0695
120,Padstow,-33.9519,151.0324
121,Panania,-33.9543,150.9978
122,Parramatta,-33.8175,151.005
123,Pendle Hill,-33.8013,150.9564
124,Pennant Hills,-33.7381,151.0725
125,Penrith,-33.7501,150.6958
126,Penshurst,-33.9662,151.0892
127,Petersham,-33.8939,151.1551
128,Punchbowl,-33.9253,151.0555
129,Pymble,-33.7447,151.142
130,Quakers Hill,-33.7274,150.8862
131,Redfern,-33.8922,151.199
132,Regents Park,-33.883,151.0241
133,Revesby,-33.9524,151.0149
134,Rhodes,-33.8306,151.0871
135,Richmond,-33.5988,150.7525
136,Riverstone,-33.6791,150.8604
137,Riverwood,-33.9515,151.0525
138,Rockdale,-33.9523,151.1367
139,Rooty Hill,-33.7716,150.8452
140,Roseville,-33.7842,151.1773
141,Rouse Hill,-33.692,150.9243
142,Schofields,-33.7046,150.8739
143,Sefton,-33.8852,151.0115
144,Seven Hills,-33.7743,150.9362
145,St James,-33.8707,151.2104
146,St Leonards,-33.8224,151.1942
147,St Marys,-33.7621,150.7751
148,St Peters,-33.9075,151.1803
149,Stanmore,-33.8947,151.1639
150,Strathfield,-33.8715,151.094
151,Summer Hill,-33.8904,151.1387
152,Sutherland,-34.0315,151.0573
153,Sydenham,-33.9148,151.166
154,Tallawong,-33.6916,150.906
155,Tempe,-33.9245,151.1564
156,Thornleigh,-33.7318,151.0784
157,Toongabbie,-33.7872,150.9515
158,Town Hall,-33.8732,151.2071
159,Turramurra,-33.7323,151.1284
160,Turrella,-33.9299,151.14
161,Villawood,-33.8809,150.9761
162,Vineyard,-33.6504,150.8511
163,Wahroonga,-33.7175,151.117
164,Waitara,-33.7101,151.1044
165,Warrawee,-33.7242,151.1217
166,Warwick Farm,-33.9131,150.9352
167,Waterfall,-34.1345,150.9945
168,Waverton,-33.8378,151.1976
169,Wentworthville,-33.8071,150.9727
170,Werrington,-33.7592,150.7577
171,West Ryde,-33.8073,151.0902
172,Westmead,-33.8084,150.9879
173,Wiley Park,-33.9227,151.0681
174,Windsor,-33.6138,150.8113
175,Wolli Creek,-33.9286,151.1541
176,Wollstonecraft,-33.8319,151.1918
177,Woolooware,-34.0477,151.1441
178,Wynyard,-33.866,151.2056
179,Yagoona,-33.907,151.0245
180,Yennora,-33.8647,150.9708
